"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"GSM1844235",NA,"Mixed","Mixed","permCAF","Activated","iCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"GSM1844236","restCAF","Mixed.restCAF","Mixed.restCAF","permCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"GSM1844237","restCAF","restCAF","restCAF","restCAF","Normal","myCAF","Classical","ECM-rich","Immune Classical","restCAF",TRUE
"GSM1844238","permCAF","permCAF","permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","permCAF",TRUE
"GSM1844239",NA,"Mixed","Mixed","permCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"GSM1844240","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"GSM1844241","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"GSM1844242","restCAF","Mixed.restCAF","Mixed.restCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"GSM1844243",NA,"Mixed","Mixed","restCAF","Activated","myCAF","Basal-like","Immune-rich","Desmoplastic","restCAF",TRUE
"GSM1844244","permCAF","Mixed.permCAF","Mixed.permCAF","permCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","permCAF",TRUE
"GSM1844245","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"GSM1844246","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"GSM1844247","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"GSM1844248","permCAF","permCAF","permCAF","permCAF","Activated","myCAF","Classical","Immune-rich","Pure Basal-like","permCAF",TRUE
"GSM1844249","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Immune Classical","restCAF",TRUE
