"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"NMF","N1 Tumor","Moffitt_Immune","Moffitt: Immune",-0.362239185750636,0.163991800409979,0.241955115358986,TRUE
"NMF","N1 Tumor","Collisson_Classical","Collisson: Classical",0.615083068881837,4.99975001249937e-05,0.000182423311266869,TRUE
"NMF","N1 Tumor","Collisson_Exocrine","Collisson: Exocrine",-0.914969381423831,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Collisson_QM","Collisson: QM",-0.140108954715696,0.407979601019949,0.498436616630707,FALSE
"NMF","N1 Tumor","Bailey_Squamous","Bailey: Squamous",-0.00383141762452111,0.972451377431128,0.979708477262704,TRUE
"NMF","N1 Tumor","Bailey_Immunogenic","Bailey: Immunogenic",-0.0715885756953519,0.561121943902805,0.641961545990497,FALSE
"NMF","N1 Tumor","Bailey_PancreaticProgenitor","Bailey: Pancreatic Progenitor",-0.166145113164981,0.455077246137693,0.543676356005209,FALSE
"NMF","N1 Tumor","Bailey_ADEX","Bailey: ADEX",-0.903832440821577,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Chan-Seng-Yue_Basal-like A","Chan-Seng-Yue: Basal-like A",0.114061740398639,0.255687215639218,0.341760139715787,FALSE
"NMF","N1 Tumor","Chan-Seng-Yue_Basal-like B","Chan-Seng-Yue: Basal-like B",0.298771516845667,0.00644967751612419,0.0165848850414622,FALSE
"NMF","N1 Tumor","Chan-Seng-Yue_Classical A","Chan-Seng-Yue: Classical A",0.362334088084837,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Chan-Seng-Yue_Classical B","Chan-Seng-Yue: Classical B",0.167013259245704,0.111794410279486,0.172482804431207,FALSE
"NMF","N1 Tumor","Maurer_ECM","Maurer: ECM",-0.23084841793414,4.99975001249937e-05,0.000182423311266869,TRUE
"NMF","N1 Tumor","Maurer_Immune","Maurer: Immune",-0.505829876727641,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Puleo_Pure Classical","Puleo: Pure Classical",0.589539342426333,4.99975001249937e-05,0.000182423311266869,FALSE
"NMF","N1 Tumor","Puleo_Immune Classical","Puleo: Immune Classical",-0.278509569900298,0.205839708014599,0.283417301216157,FALSE
